Date,CPI,Forecasting
01-Jan-2014,1.56,1.47
01-Feb-2014,1.12,1.01
01-Mar-2014,1.61,1.41
01-Apr-2014,2.02,1.98
01-May-2014,2.17,1.96
01-Jun-2014,2.06,2.1
01-Jul-2014,1.97,2.01
01-Aug-2014,1.72,1.89
01-Sep-2014,1.68,1.67
01-Oct-2014,1.61,1.64
01-Nov-2014,1.23,1.44
01-Dec-2014,0.65,0.69
01-Jan-2015,-0.23,-0.13
01-Feb-2015,-0.09,-0.01
01-Mar-2015,-0.02,0.17
01-Apr-2015,-0.1,-0.18
01-May-2015,0.04,0.05
01-Jun-2015,0.18,0.04
01-Jul-2015,0.23,0.19
01-Aug-2015,0.24,0.2
01-Sep-2015,0.01,-0.14
01-Oct-2015,0.13,0.08
01-Nov-2015,0.44,0.4
01-Dec-2015,0.64,0.81
01-Jan-2016,1.24,1.29
01-Feb-2016,0.85,0.86
01-Mar-2016,0.89,1.16
01-Apr-2016,1.17,1.06
01-May-2016,1.08,1.08
01-Jun-2016,1.08,1.02
01-Jul-2016,0.87,0.84
01-Aug-2016,1.06,0.93
01-Sep-2016,1.55,1.44
01-Oct-2016,1.69,1.56
01-Nov-2016,1.68,1.64
01-Dec-2016,2.05,2.07
01-Jan-2017,2.51,2.29
01-Feb-2017,2.81,2.67
01-Mar-2017,2.44,2.6
01-Apr-2017,2.18,2.22
01-May-2017,1.86,1.96
01-Jun-2017,1.64,1.69
01-Jul-2017,1.73,1.73
01-Aug-2017,1.93,1.82
01-Sep-2017,2.18,2.26
01-Oct-2017,2.02,1.98
01-Nov-2017,2.17,2.2
01-Dec-2017,2.13,1.99
01-Jan-2018,2.15,1.94
01-Feb-2018,2.26,2.14
01-Mar-2018,2.33,2.36
01-Apr-2018,2.47,2.51
01-May-2018,2.78,2.72
01-Jun-2018,2.81,2.93
01-Jul-2018,2.85,2.93
01-Aug-2018,2.64,2.8
01-Sep-2018,2.33,2.39
01-Oct-2018,2.49,2.48
01-Nov-2018,2.15,2.25
01-Dec-2018,2,1.83
01-Jan-2019,1.49,1.55
01-Feb-2019,1.52,1.53
01-Mar-2019,1.88,1.81
01-Apr-2019,2,2.08
01-May-2019,1.8,1.85
01-Jun-2019,1.67,1.67
01-Jul-2019,1.83,1.71
01-Aug-2019,1.74,1.76
01-Sep-2019,1.68,1.8
01-Oct-2019,1.73,1.72
01-Nov-2019,2.09,2.03
01-Dec-2019,2.32,2.33
01-Jan-2020,2.51,2.45
01-Feb-2020,2.34,2.3
01-Mar-2020,1.52,1.78
01-Apr-2020,0.35,0.59
01-May-2020,0.22,0.33
01-Jun-2020,0.7,0.63
01-Jul-2020,1.02,0.65
01-Aug-2020,1.3,1.11
01-Sep-2020,1.37,1.36
01-Oct-2020,1.2,1.23
01-Nov-2020,1.17,1.09
01-Dec-2020,1.3,1.35
01-Jan-2021,1.4,1.51
01-Feb-2021,1.67,1.7
01-Mar-2021,2.62,2.47
01-Apr-2021,4.15,3.46
01-May-2021,4.93,4.55
01-Jun-2021,5.32,4.81
01-Jul-2021,5.26,5.23
01-Aug-2021,5.18,5.38
01-Sep-2021,5.36,5.4
01-Oct-2021,6.22,5.76
01-Nov-2021,6.86,6.6
01-Dec-2021,7.18,6.94
01-Jan-2022,7.57,7.26
01-Feb-2022,7.95,7.81
01-Mar-2022,8.55,8.41
01-Apr-2022,8.25,8.14
01-May-2022,8.53,8.23
01-Jun-2022,8.99,8.67
01-Jul-2022,8.45,8.82
01-Aug-2022,8.22,8.24
01-Sep-2022,8.2,8.2
01-Oct-2022,7.75,8.09
01-Nov-2022,7.12,7.49
01-Dec-2022,6.41,6.64
01-Jan-2023,6.36,6.48
01-Feb-2023,5.97,6.21
01-Mar-2023,4.94,5.22
01-Apr-2023,4.94,5.19
01-May-2023,4.12,4.13
01-Jun-2023,3.05,3.22
01-Jul-2023,3.27,3.42
01-Aug-2023,3.72,3.82
01-Sep-2023,3.69,3.69
01-Oct-2023,3.25,3.28
01-Nov-2023,3.14,3.04
01-Dec-2023,3.32,3.32
01-Jan-2024,3.11,2.94
01-Feb-2024,3.17,3.12
01-Mar-2024,3.5,3.41
01-Apr-2024,,3.43
